               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042694,            0.056383,           0.0071882,             0.66739,             0.51837,             0.56521,             0.35365,            0.043333,            0.045998,           0.0083432,            0.006535,            0.006535,            0.006535
                  37,            0.042578,            0.056563,            0.007005,             0.67609,             0.51425,              0.5641,             0.35337,            0.043273,            0.046185,           0.0084878,            0.006436,            0.006436,            0.006436
                  38,            0.042591,            0.056119,           0.0068397,             0.66316,             0.52465,             0.56605,             0.35686,            0.043164,            0.045743,            0.008374,            0.006337,            0.006337,            0.006337
                  39,            0.042627,            0.055955,            0.006958,             0.66757,              0.5138,             0.56889,             0.35612,            0.043112,            0.045866,           0.0080489,            0.006238,            0.006238,            0.006238
                  40,            0.042445,            0.056328,           0.0068418,              0.6526,             0.52867,             0.57219,             0.35611,            0.043053,            0.045709,           0.0084321,            0.006139,            0.006139,            0.006139
                  41,              0.0422,             0.05598,           0.0068366,             0.65666,             0.52001,             0.57203,             0.35834,            0.042924,            0.045853,            0.008192,             0.00604,             0.00604,             0.00604
                  42,            0.042291,            0.056105,            0.006885,             0.68541,             0.50385,             0.56782,             0.35746,            0.042954,            0.045844,           0.0084204,            0.005941,            0.005941,            0.005941
                  43,            0.042292,            0.055935,           0.0067291,             0.67271,             0.50685,             0.57104,             0.36102,             0.04298,            0.046083,           0.0083915,            0.005842,            0.005842,            0.005842
                  44,            0.042254,            0.055121,           0.0067676,             0.66735,             0.51272,             0.57054,             0.35976,            0.042887,            0.045921,           0.0083532,            0.005743,            0.005743,            0.005743
                  45,            0.042045,            0.055706,           0.0066675,             0.67285,             0.50951,             0.57041,             0.35976,            0.042834,            0.045724,           0.0085968,            0.005644,            0.005644,            0.005644
                  46,            0.041995,             0.05588,           0.0067487,             0.66018,             0.51696,             0.56833,             0.35836,            0.042719,            0.046069,           0.0085445,            0.005545,            0.005545,            0.005545
                  47,            0.041679,            0.054776,           0.0065722,              0.6788,             0.50996,             0.56879,             0.35847,            0.042853,            0.046178,           0.0085428,            0.005446,            0.005446,            0.005446
                  48,            0.041721,            0.054865,            0.006504,             0.67282,             0.51416,             0.56857,             0.35982,             0.04284,            0.046234,             0.00839,            0.005347,            0.005347,            0.005347
                  49,            0.041558,            0.054253,            0.006541,             0.67179,             0.52529,             0.57298,             0.36168,            0.042794,            0.046083,           0.0083631,            0.005248,            0.005248,            0.005248
                  50,            0.041627,             0.05501,           0.0063755,             0.67751,              0.5192,             0.57084,             0.36225,            0.042809,            0.046227,           0.0083769,            0.005149,            0.005149,            0.005149
                  51,            0.041541,            0.054448,           0.0063896,             0.68438,             0.51813,             0.57392,             0.36314,            0.042763,            0.046252,           0.0082858,             0.00505,             0.00505,             0.00505
                  52,            0.041247,            0.053675,            0.006227,             0.67038,             0.52483,             0.57577,             0.36501,            0.042717,            0.046288,           0.0084102,            0.004951,            0.004951,            0.004951
                  53,            0.041081,            0.053777,           0.0061096,             0.68057,              0.5159,             0.57284,             0.36356,            0.042676,            0.046531,           0.0083038,            0.004852,            0.004852,            0.004852
                  54,            0.041288,            0.054459,           0.0062186,             0.68673,             0.51481,             0.57291,             0.36311,            0.042621,            0.046529,           0.0083429,            0.004753,            0.004753,            0.004753
                  55,            0.041072,            0.053867,           0.0060722,              0.6838,             0.51405,             0.57219,             0.36341,            0.042624,             0.04666,           0.0084374,            0.004654,            0.004654,            0.004654
                  56,            0.040796,             0.05357,           0.0061142,             0.71096,              0.5031,             0.57262,             0.36289,            0.042628,             0.04669,           0.0083718,            0.004555,            0.004555,            0.004555
                  57,             0.04085,            0.053492,           0.0058479,             0.67475,             0.51832,             0.57338,             0.36382,            0.042608,            0.046723,           0.0084072,            0.004456,            0.004456,            0.004456
                  58,            0.040471,            0.052923,           0.0058068,             0.70003,             0.50637,             0.57514,              0.3651,            0.042579,            0.046734,           0.0083817,            0.004357,            0.004357,            0.004357
                  59,            0.040407,             0.05309,           0.0057835,             0.69609,             0.51516,              0.5777,             0.36541,            0.042576,            0.046713,            0.008436,            0.004258,            0.004258,            0.004258
                  60,            0.040468,            0.052557,           0.0056844,              0.7003,             0.51045,             0.57665,             0.36513,             0.04256,            0.046796,           0.0084985,            0.004159,            0.004159,            0.004159
                  61,            0.040124,            0.052352,           0.0056871,             0.69832,              0.5135,             0.57705,             0.36505,            0.042566,             0.04681,           0.0086054,             0.00406,             0.00406,             0.00406
